일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2017년 09월 11일 09시,0,17.7,136.2,980,29,104,270,중,소형,북서,22,0
2017년 09월 11일 09시,24,20.7,129.9,965,37,133,330,강,중형,서북서,31,140
2017년 09월 11일 09시,48,22.9,124,940,47,169,370,매우강,중형,서북서,27,230
2017년 09월 11일 09시,72,25.2,120.5,970,35,126,300,강,중형,서북서,18,320
2017년 09월 11일 09시,96,27.6,118.9,994,21,76,250,약,소형,북북서,12,460
2017년 09월 11일 09시,120,29.1,120.8,1002,-1,-4,0,-,-,북동,11,0
2017년 09월 11일 15시,0,18.6,134.6,980,29,104,270,중,소형,서북서,33,0
2017년 09월 11일 15시,24,21.1,128.3,960,39,140,350,강,중형,서북서,30,140
2017년 09월 11일 15시,48,23.5,123.2,935,49,176,380,매우강,중형,서북서,25,230
2017년 09월 11일 15시,72,26.1,119.9,980,29,104,250,중,소형,북서,18,320
2017년 09월 11일 15시,96,28.6,119,1000,-1,-4,0,-,-,북북서,12,0
2017년 09월 11일 21시,0,19.1,133.7,975,32,115,300,중,중형,서북서,18,0
2017년 09월 11일 21시,24,22,127.1,955,40,144,350,강,중형,서북서,32,140
2017년 09월 11일 21시,48,24.3,122.8,935,49,176,380,매우강,중형,서북서,21,230
2017년 09월 11일 21시,72,26.6,119.8,965,37,133,270,강,소형,북서,16,320
2017년 09월 11일 21시,96,29.3,119.9,998,-1,-4,0,-,-,북,12,0
2017년 09월 12일 03시,0,19.7,132.4,975,32,115,300,중,중형,서북서,25,0
2017년 09월 12일 03시,24,22.8,126.1,955,40,144,350,강,중형,서북서,31,140
2017년 09월 12일 03시,48,25.3,122.1,940,47,169,370,매우강,중형,서북서,20,230
2017년 09월 12일 03시,72,27.3,120.1,960,39,140,250,강,소형,북서,13,320
2017년 09월 12일 03시,96,29.5,120.8,996,-1,-4,0,-,-,북북동,10,0
2017년 09월 12일 09시,0,21,130.7,975,32,115,300,중,중형,북서,38,0
2017년 09월 12일 09시,24,23.9,125.6,945,45,162,330,매우강,중형,서북서,26,140
2017년 09월 12일 09시,48,26.5,121.7,940,47,169,350,매우강,중형,서북서,20,230
2017년 09월 12일 09시,72,29,121.7,965,37,133,280,강,소형,북,12,320
2017년 09월 12일 09시,96,30,124,980,29,104,250,중,소형,동북동,10,460
2017년 09월 12일 09시,120,31.6,130.7,998,-1,-4,0,-,-,동북동,28,0
2017년 09월 12일 15시,0,22.1,128.7,970,35,126,310,강,중형,서북서,40,0
2017년 09월 12일 15시,24,24.5,124.9,940,47,169,350,매우강,중형,서북서,20,140
2017년 09월 12일 15시,48,27.1,122,945,45,162,330,매우강,중형,북서,17,230
2017년 09월 12일 15시,72,29.5,122.5,970,35,126,250,강,소형,북북동,11,320
2017년 09월 12일 15시,96,30.7,124.9,980,29,104,230,중,소형,동북동,13,460
2017년 09월 12일 15시,120,32.2,131.1,998,19,68,180,약,소형,동북동,25,550
2017년 09월 12일 21시,0,22.9,127.8,965,37,133,320,강,중형,북서,21,0
2017년 09월 12일 21시,24,25,124.3,940,47,169,350,매우강,중형,서북서,18,140
2017년 09월 12일 21시,48,27.7,122.5,945,45,162,330,매우강,중형,북북서,15,230
2017년 09월 12일 21시,72,29.9,123.6,965,37,133,270,강,소형,북북동,11,320
2017년 09월 12일 21시,96,31.2,127.7,975,32,115,250,중,소형,동북동,18,460
2017년 09월 12일 21시,120,34,135.7,980,29,104,230,중,소형,동북동,34,550
2017년 09월 13일 03시,0,23.7,126.7,965,37,133,320,강,중형,북서,24,0
2017년 09월 13일 03시,24,26,123.5,940,47,169,350,매우강,중형,북서,17,140
2017년 09월 13일 03시,48,28.3,122.5,945,45,162,330,매우강,중형,북북서,11,230
2017년 09월 13일 03시,72,30.1,124.3,960,39,140,280,강,소형,북동,11,320
2017년 09월 13일 03시,96,31.5,129.3,970,35,126,250,강,소형,동북동,21,460
2017년 09월 13일 03시,120,36.4,139,980,29,104,230,중,소형,동북동,44,550
2017년 09월 13일 09시,0,24.5,126.3,960,39,140,320,강,중형,북북서,16,0
2017년 09월 13일 09시,24,26.6,123.2,940,47,169,350,매우강,중형,북서,16,140
2017년 09월 13일 09시,48,28.9,122.9,945,45,162,320,매우강,중형,북,11,230
2017년 09월 13일 09시,72,30.4,125.4,960,39,140,280,강,소형,동북동,12,320
2017년 09월 13일 09시,96,33,131.6,975,32,115,220,중,소형,동북동,27,460
2017년 09월 13일 09시,120,39,140,985,-1,-4,0,-,-,북동,42,0
2017년 09월 13일 15시,0,25,125.8,960,39,140,350,강,중형,북서,13,0
2017년 09월 13일 15시,24,27.2,123,940,47,169,370,매우강,중형,북서,15,140
2017년 09월 13일 15시,48,29.4,124.2,945,45,162,330,매우강,중형,북북동,11,230
2017년 09월 13일 15시,72,30.6,126.9,960,39,140,280,강,소형,동북동,12,320
2017년 09월 13일 15시,96,33.6,133.2,985,27,97,200,중,소형,동북동,28,460
2017년 09월 13일 15시,120,43.1,142.6,998,-1,-4,0,-,-,북동,56,0
2017년 09월 13일 21시,0,25.5,125.4,955,40,144,370,강,중형,북서,11,0
2017년 09월 13일 21시,24,27.4,123.8,940,47,169,380,매우강,중형,북서,11,140
2017년 09월 13일 21시,48,29.4,125.2,945,45,162,370,매우강,중형,북동,11,230
2017년 09월 13일 21시,72,31.2,128.9,965,37,133,300,강,중형,동북동,17,320
