일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2017년 07월 23일 15시,24,26.9,153.8,970,35,126,350,강,중형,동남동,12,140
2017년 07월 23일 15시,48,27,157.2,955,40,144,400,강,중형,동,14,230
2017년 07월 23일 15시,72,29.6,155.3,955,40,144,380,강,중형,북서,15,320
2017년 07월 23일 15시,96,30.6,151.3,960,39,140,370,강,중형,서북서,17,460
2017년 07월 23일 15시,120,30.1,147.4,970,35,126,350,강,중형,서,16,550
2017년 07월 23일 21시,0,28,151.5,970,35,126,330,강,중형,동남동,5,0
2017년 07월 23일 21시,24,26.7,154.6,965,37,133,350,강,중형,동남동,13,140
2017년 07월 23일 21시,48,28,157.8,955,40,144,400,강,중형,동북동,15,230
2017년 07월 23일 21시,72,30.3,154.3,955,40,144,400,강,중형,서북서,18,320
2017년 07월 23일 21시,96,30.6,150.1,960,39,140,380,강,중형,서,17,460
2017년 07월 23일 21시,120,29.6,146.2,965,37,133,370,강,중형,서남서,16,550
2017년 07월 24일 03시,0,27.8,151.8,970,35,126,330,강,중형,동남동,6,0
2017년 07월 24일 03시,24,26.2,156.1,960,39,140,350,강,중형,동남동,19,140
2017년 07월 24일 03시,48,28.3,158.3,955,40,144,400,강,중형,북동,13,230
2017년 07월 24일 03시,72,30.5,153.1,955,40,144,400,강,중형,서북서,23,320
2017년 07월 24일 03시,96,30.3,148.4,960,39,140,380,강,중형,서,19,460
2017년 07월 24일 03시,120,28.6,144.2,965,37,133,370,강,중형,서남서,19,550
2017년 07월 24일 09시,0,27.3,152.3,970,35,126,330,강,중형,남동,12,0
2017년 07월 24일 09시,24,25.9,156.5,960,39,140,350,강,중형,동남동,19,140
2017년 07월 24일 09시,48,28.6,158.1,950,43,155,420,강,중형,북북동,14,230
2017년 07월 24일 09시,72,30.4,152.1,955,40,144,400,강,중형,서북서,26,320
2017년 07월 24일 09시,96,30.2,147.4,960,39,140,380,강,중형,서,19,460
2017년 07월 24일 09시,120,28.4,142.9,965,37,133,370,강,중형,서남서,20,550
2017년 07월 24일 15시,0,26.8,153,970,35,126,330,강,중형,남동,15,0
2017년 07월 24일 15시,24,26.1,156.8,960,39,140,350,강,중형,동남동,18,140
2017년 07월 24일 15시,48,29,156.9,950,43,155,420,강,중형,북,14,230
2017년 07월 24일 15시,72,30.4,151.4,955,40,144,400,강,중형,서북서,23,320
2017년 07월 24일 15시,96,29.6,146.7,960,39,140,380,강,중형,서,19,460
2017년 07월 24일 15시,120,27.8,142,965,37,133,370,강,중형,서남서,21,550
2017년 07월 24일 21시,0,26.2,154.1,970,35,126,330,강,중형,동남동,21,0
2017년 07월 24일 21시,24,26.4,157.2,960,39,140,350,강,중형,동,13,140
2017년 07월 24일 21시,48,29.3,156,950,43,155,420,강,중형,북북서,14,230
2017년 07월 24일 21시,72,30.3,150.7,955,40,144,400,강,중형,서,22,320
2017년 07월 24일 21시,96,29.4,146.1,960,39,140,380,강,중형,서,19,460
2017년 07월 24일 21시,120,27.5,141.2,965,37,133,370,강,중형,서남서,22,550
2017년 07월 25일 03시,0,25.9,155.6,970,35,126,330,강,중형,동남동,26,0
2017년 07월 25일 03시,24,26.9,157.7,960,39,140,350,강,중형,동북동,10,140
2017년 07월 25일 03시,48,29.7,154.9,950,43,155,400,강,중형,북서,17,230
2017년 07월 25일 03시,72,30.2,149.5,950,43,155,400,강,중형,서,22,320
2017년 07월 25일 03시,96,29.2,144.9,960,39,140,380,강,중형,서남서,19,460
2017년 07월 25일 03시,120,27.9,140.6,965,37,133,370,강,중형,서남서,19,550
2017년 07월 25일 09시,0,25.7,156.5,965,37,133,350,강,중형,동남동,15,0
2017년 07월 25일 09시,24,27.8,157.2,955,40,144,370,강,중형,북북동,10,140
2017년 07월 25일 09시,48,30.2,153.1,950,43,155,400,강,중형,서북서,20,230
2017년 07월 25일 09시,72,30.1,147.8,955,40,144,390,강,중형,서,21,320
2017년 07월 25일 09시,96,28.7,143.6,960,39,140,380,강,중형,서남서,18,460
2017년 07월 25일 09시,120,27.3,140.1,965,37,133,360,강,중형,서남서,16,550
2017년 07월 25일 15시,0,25.9,157.5,965,37,133,340,강,중형,동북동,17,0
2017년 07월 25일 15시,24,28.8,156.4,950,43,155,400,강,중형,북북서,14,140
2017년 07월 25일 15시,48,30.2,151.1,955,40,144,380,강,중형,서북서,22,230
2017년 07월 25일 15시,72,29.7,146.1,960,39,140,360,강,중형,서,20,320
2017년 07월 25일 15시,96,28.2,142.6,965,37,133,340,강,중형,서남서,16,460
2017년 07월 25일 15시,120,26.6,139.3,965,37,133,340,강,중형,서남서,16,550
2017년 07월 25일 21시,0,26.2,158.3,965,37,133,330,강,중형,동북동,14,0
2017년 07월 25일 21시,24,29.6,155.1,955,40,144,380,강,중형,북서,20,140
2017년 07월 25일 21시,48,30.2,149.7,960,39,140,370,강,중형,서,22,230
2017년 07월 25일 21시,72,29.2,144.7,965,37,133,350,강,중형,서남서,21,320
2017년 07월 25일 21시,96,27.7,141.7,970,35,126,330,강,중형,서남서,14,460
2017년 07월 25일 21시,120,26.4,139.7,970,35,126,330,강,중형,서남서,10,550
2017년 07월 26일 03시,0,26.9,158.5,965,37,133,320,강,중형,북북동,13,0
2017년 07월 26일 03시,24,30.2,153.8,960,39,140,350,강,중형,북서,24,140
