일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2019년 09월 30일 15시,72,35.8,128.2,990,24,86,230,-,소형,북동,28,260
2019년 09월 30일 15시,96,37.5,136,992,23,83,0,-,-,동북동,30,0
2019년 09월 30일 21시,0,24.5,122.9,965,37,133,320,강,중형,북,34,null
2019년 09월 30일 21시,12,26.9,121.8,970,35,126,310,강,중형,북북서,24,48
2019년 09월 30일 21시,24,29,121.9,975,32,115,290,중,소형,북,20,110
2019년 09월 30일 21시,36,30.9,122.3,980,29,104,280,중,소형,북북동,18,140
2019년 09월 30일 21시,48,33.1,124.2,985,27,97,260,중,소형,북동,25,170
2019년 09월 30일 21시,72,36.4,130.2,990,24,86,220,-,소형,동북동,27,260
2019년 09월 30일 21시,96,37.8,137.3,992,23,83,0,-,-,동북동,30,0
2019년 10월 01일 03시,0,26.1,122.4,965,37,133,320,강,중형,북북서,24,null
2019년 10월 01일 03시,12,28.9,122.1,970,35,126,310,강,중형,북,26,48
2019년 10월 01일 03시,24,30.5,122.6,975,32,115,290,중,소형,북북동,16,110
2019년 10월 01일 03시,36,32.6,124,980,29,104,280,중,소형,북북동,22,140
2019년 10월 01일 03시,48,34.3,126.2,985,27,97,260,중,소형,북동,23,170
2019년 10월 01일 03시,72,37,132.2,990,24,86,210,-,소형,동북동,26,260
2019년 10월 01일 03시,96,38.3,139.3,996,20,72,0,-,-,동,27,0
2019년 10월 01일 09시,0,27.4,122.3,970,35,126,310,강,중형,북,22,null
2019년 10월 01일 09시,12,29.8,122.6,970,35,126,310,강,중형,북,22,48
2019년 10월 01일 09시,24,32,123.7,975,32,115,290,중,소형,북북동,22,110
2019년 10월 01일 09시,36,34,125.8,980,29,104,280,중,소형,북동,25,140
2019년 10월 01일 09시,48,36.2,129.2,990,24,86,250,-,소형,동북동,33,170
2019년 10월 01일 09시,60,37.5,133.5,992,23,83,210,-,소형,동북동,34,215
2019년 10월 01일 09시,72,38.3,138.3,994,21,76,0,-,-,동,36,0
2019년 10월 01일 12시,0,28,122.2,970,35,126,310,강,중형,북,22,null
2019년 10월 01일 12시,12,30.3,122.8,975,32,115,300,중,중형,북북동,22,50
2019년 10월 01일 12시,24,32.4,124.2,980,29,104,290,중,소형,북동,22,110
2019년 10월 01일 12시,36,34.6,126.6,985,27,97,270,중,소형,북동,27,140
2019년 10월 01일 12시,48,36.7,130.2,990,24,86,240,-,소형,동북동,34,170
2019년 10월 01일 12시,60,37.8,134.8,992,23,83,220,-,소형,동북동,35,215
2019년 10월 01일 12시,72,38.4,139.3,996,20,72,0,-,-,동,36,0
2019년 10월 01일 15시,0,28.6,122.2,975,32,115,310,중,중형,북,22,null
2019년 10월 01일 15시,12,30.9,123.1,975,32,115,300,중,중형,북북동,22,48
2019년 10월 01일 15시,24,32.9,124.7,980,29,104,280,중,소형,북동,23,110
2019년 10월 01일 15시,36,35.1,127.4,985,27,97,250,중,소형,북동,29,140
2019년 10월 01일 15시,48,37.1,131.3,992,23,83,230,-,소형,동북동,35,170
2019년 10월 01일 15시,60,38,136,994,21,76,0,-,-,동,35,0
2019년 10월 01일 18시,0,29.3,122.3,975,32,115,310,중,중형,북,24,null
2019년 10월 01일 18시,12,31.4,123.4,975,32,115,300,중,중형,북북동,25,48
2019년 10월 01일 18시,24,33.5,125.3,980,29,104,280,중,소형,북동,26,110
2019년 10월 01일 18시,36,35.7,128,990,24,86,240,-,소형,북동,29,140
2019년 10월 01일 18시,48,37.7,132.2,994,21,76,220,-,소형,동북동,36,170
2019년 10월 01일 18시,60,38,137.2,996,20,72,0,-,-,동,37,0
2019년 10월 01일 21시,0,30,122.4,975,32,115,310,중,중형,북,26,null
2019년 10월 01일 21시,6,30.8,122.9,975,32,115,310,중,중형,북북동,17,24
