,행정구역,count,month,year
275,남산3동,"5,287",6,2012
276,남산4동,"14,523",6,2012
277,대봉1동,"7,684",6,2012
278,대봉2동,"4,155",6,2012
279,동인동,"10,476",7,2012
280,삼덕동,"4,484",7,2012
281,성내1동,"4,480",7,2012
282,성내2동,"5,184",7,2012
283,성내3동,"3,893",7,2012
284,대신동,"5,086",7,2012
285,남산1동,"4,170",7,2012
286,남산2동,"4,796",7,2012
287,남산3동,"5,300",7,2012
288,남산4동,"14,501",7,2012
289,대봉1동,"7,660",7,2012
290,대봉2동,"4,167",7,2012
291,동인동,"10,482",8,2012
292,삼덕동,"4,515",8,2012
293,성내1동,"4,464",8,2012
294,성내2동,"5,155",8,2012
295,성내3동,"3,891",8,2012
296,대신동,"5,079",8,2012
297,남산1동,"4,165",8,2012
298,남산2동,"4,813",8,2012
299,남산3동,"5,288",8,2012
300,남산4동,"14,493",8,2012
301,대봉1동,"7,622",8,2012
302,대봉2동,"4,164",8,2012
303,동인동,"10,490",9,2012
304,삼덕동,"4,545",9,2012
305,성내1동,"4,451",9,2012
306,성내2동,"5,169",9,2012
307,성내3동,"3,885",9,2012
308,대신동,"5,065",9,2012
309,남산1동,"4,166",9,2012
310,남산2동,"4,812",9,2012
311,남산3동,"5,296",9,2012
312,남산4동,"14,504",9,2012
313,대봉1동,"7,625",9,2012
314,대봉2동,"4,134",9,2012
315,동인동,"10,508",10,2012
316,삼덕동,"4,531",10,2012
317,성내1동,"4,445",10,2012
318,성내2동,"5,130",10,2012
319,성내3동,"3,858",10,2012
320,대신동,"5,051",10,2012
321,남산1동,"4,139",10,2012
322,남산2동,"4,807",10,2012
323,남산3동,"5,280",10,2012
324,남산4동,"14,481",10,2012
325,대봉1동,"7,635",10,2012
326,대봉2동,"4,123",10,2012
327,동인동,"10,494",11,2012
328,삼덕동,"4,507",11,2012
329,성내1동,"4,469",11,2012
330,성내2동,"5,071",11,2012
331,성내3동,"3,864",11,2012
332,대신동,"5,026",11,2012
333,남산1동,"4,138",11,2012
334,남산2동,"4,814",11,2012
335,남산3동,"5,285",11,2012
336,남산4동,"14,421",11,2012
337,대봉1동,"7,640",11,2012
338,대봉2동,"4,137",11,2012
339,동인동,"10,474",12,2012
340,삼덕동,"4,528",12,2012
341,성내1동,"4,473",12,2012
342,성내2동,"5,105",12,2012
343,성내3동,"3,845",12,2012
344,대신동,"5,013",12,2012
345,남산1동,"4,144",12,2012
346,남산2동,"4,775",12,2012
347,남산3동,"5,261",12,2012
348,남산4동,"14,435",12,2012
349,대봉1동,"7,642",12,2012
350,대봉2동,"4,140",12,2012
351,동인동,"10,499",1,2013
352,삼덕동,"4,533",1,2013
353,성내1동,"4,518",1,2013
354,성내2동,"5,087",1,2013
355,성내3동,"3,847",1,2013
356,대신동,"4,993",1,2013
357,남산1동,"4,127",1,2013
358,남산2동,"4,788",1,2013
359,남산3동,"5,250",1,2013
360,남산4동,"14,403",1,2013
361,대봉1동,"7,613",1,2013
362,대봉2동,"4,110",1,2013
363,동인동,"10,482",2,2013
364,삼덕동,"4,552",2,2013
365,성내1동,"4,545",2,2013
366,성내2동,"5,061",2,2013
367,성내3동,"3,841",2,2013
368,대신동,"4,995",2,2013
369,남산1동,"4,122",2,2013
370,남산2동,"4,784",2,2013
371,남산3동,"5,257",2,2013
372,남산4동,"14,424",2,2013
373,대봉1동,"7,622",2,2013
374,대봉2동,"4,116",2,2013
375,동인동,"10,480",3,2013
376,삼덕동,"4,544",3,2013
377,성내1동,"4,563",3,2013
378,성내2동,"5,058",3,2013
379,성내3동,"3,823",3,2013
380,대신동,"4,997",3,2013
381,남산1동,"4,130",3,2013
382,남산2동,"4,757",3,2013
383,남산3동,"5,264",3,2013
384,남산4동,"14,432",3,2013
385,대봉1동,"7,600",3,2013
386,대봉2동,"4,127",3,2013
387,동인동,"10,509",4,2013
388,삼덕동,"4,862",4,2013
389,성내1동,"4,524",4,2013
390,성내2동,"5,051",4,2013
391,성내3동,"3,813",4,2013
392,대신동,"5,004",4,2013
393,남산1동,"4,132",4,2013
394,남산2동,"4,732",4,2013
395,남산3동,"5,251",4,2013
396,남산4동,"14,419",4,2013
397,대봉1동,"7,605",4,2013
398,대봉2동,"4,134",4,2013
399,동인동,"10,467",5,2013
400,삼덕동,"5,699",5,2013
401,성내1동,"4,532",5,2013
402,성내2동,"5,050",5,2013
403,성내3동,"3,822",5,2013
404,대신동,"4,990",5,2013
405,남산1동,"4,130",5,2013
406,남산2동,"4,729",5,2013
407,남산3동,"5,230",5,2013
408,남산4동,"14,389",5,2013
409,대봉1동,"7,571",5,2013
410,대봉2동,"4,117",5,2013
411,동인동,"10,414",6,2013
412,삼덕동,"6,058",6,2013
413,성내1동,"4,538",6,2013
414,성내2동,"5,051",6,2013
415,성내3동,"3,820",6,2013
416,대신동,"4,941",6,2013
417,남산1동,"4,124",6,2013
418,남산2동,"4,724",6,2013
419,남산3동,"5,224",6,2013
420,남산4동,"14,385",6,2013
421,대봉1동,"7,553",6,2013
422,대봉2동,"4,104",6,2013
423,동인동,"10,452",7,2013
424,삼덕동,"6,189",7,2013
425,성내1동,"4,535",7,2013
426,성내2동,"5,086",7,2013
427,성내3동,"3,815",7,2013
428,대신동,"4,907",7,2013
429,남산1동,"4,113",7,2013
430,남산2동,"4,711",7,2013
431,남산3동,"5,230",7,2013
432,남산4동,"14,358",7,2013
433,대봉1동,"7,558",7,2013
434,대봉2동,"4,105",7,2013
435,동인동,"10,425",8,2013
436,삼덕동,"6,274",8,2013
437,성내1동,"4,527",8,2013
438,성내2동,"5,068",8,2013
439,성내3동,"3,771",8,2013
440,대신동,"4,884",8,2013
441,남산1동,"4,098",8,2013
442,남산2동,"4,731",8,2013
443,남산3동,"5,211",8,2013
444,남산4동,"14,350",8,2013
445,대봉1동,"7,595",8,2013
446,대봉2동,"4,088",8,2013
447,동인동,"10,354",9,2013
448,삼덕동,"6,306",9,2013
449,성내1동,"4,534",9,2013
450,성내2동,"5,072",9,2013
451,성내3동,"3,740",9,2013
452,대신동,"4,872",9,2013
453,남산1동,"4,069",9,2013
454,남산2동,"4,710",9,2013
455,남산3동,"5,223",9,2013
456,남산4동,"14,347",9,2013
457,대봉1동,"7,581",9,2013
458,대봉2동,"4,093",9,2013
459,동인동,"10,374",10,2013
460,삼덕동,"6,370",10,2013
461,성내1동,"4,531",10,2013
462,성내2동,"5,067",10,2013
463,성내3동,"3,728",10,2013
464,대신동,"4,864",10,2013
465,남산1동,"4,061",10,2013
466,남산2동,"4,718",10,2013
467,남산3동,"5,207",10,2013
468,남산4동,"14,336",10,2013
469,대봉1동,"7,561",10,2013
470,대봉2동,"4,058",10,2013
471,동인동,"10,369",11,2013
472,삼덕동,"6,422",11,2013
473,성내1동,"4,524",11,2013
474,성내2동,"5,071",11,2013
475,성내3동,"3,710",11,2013
476,대신동,"4,850",11,2013
477,남산1동,"4,070",11,2013
478,남산2동,"4,726",11,2013
479,남산3동,"5,189",11,2013
480,남산4동,"14,318",11,2013
481,대봉1동,"7,527",11,2013
482,대봉2동,"4,036",11,2013
483,동인동,"10,331",12,2013
484,삼덕동,"6,411",12,2013
485,성내1동,"4,529",12,2013
486,성내2동,"5,061",12,2013
487,성내3동,"3,731",12,2013
488,대신동,"4,815",12,2013
489,남산1동,"4,056",12,2013
490,남산2동,"4,714",12,2013
491,남산3동,"5,169",12,2013
492,남산4동,"14,308",12,2013
493,대봉1동,"7,556",12,2013
494,대봉2동,"4,029",12,2013
495,동인동,"10,293",1,2014
496,삼덕동,"6,429",1,2014
497,성내1동,"4,519",1,2014
498,성내2동,"5,028",1,2014
499,성내3동,"3,718",1,2014
500,대신동,"4,803",1,2014
501,남산1동,"4,036",1,2014
502,남산2동,"4,722",1,2014
503,남산3동,"5,154",1,2014
504,남산4동,"14,273",1,2014
505,대봉1동,"7,526",1,2014
506,대봉2동,"4,021",1,2014
507,동인동,"10,285",2,2014
508,삼덕동,"6,493",2,2014
509,성내1동,"4,500",2,2014
510,성내2동,"5,035",2,2014
511,성내3동,"3,720",2,2014
512,대신동,"4,765",2,2014
513,남산1동,"4,036",2,2014
514,남산2동,"4,723",2,2014
515,남산3동,"5,137",2,2014
516,남산4동,"14,277",2,2014
517,대봉1동,"7,537",2,2014
518,대봉2동,"3,996",2,2014
519,동인동,"10,258",3,2014
520,삼덕동,"6,517",3,2014
521,성내1동,"4,529",3,2014
522,성내2동,"5,025",3,2014
523,성내3동,"3,699",3,2014
524,대신동,"4,756",3,2014
525,남산1동,"3,987",3,2014
526,남산2동,"4,718",3,2014
527,남산3동,"5,106",3,2014
528,남산4동,"14,271",3,2014
529,대봉1동,"7,562",3,2014
530,대봉2동,"3,979",3,2014
531,동인동,"10,275",4,2014
532,삼덕동,"6,532",4,2014
533,성내1동,"4,555",4,2014
534,성내2동,"4,991",4,2014
535,성내3동,"3,711",4,2014
536,대신동,"4,765",4,2014
537,남산1동,"3,995",4,2014
538,남산2동,"4,733",4,2014
539,남산3동,"5,108",4,2014
540,남산4동,"14,196",4,2014
541,대봉1동,"7,576",4,2014
542,대봉2동,"3,995",4,2014
543,동인동,"10,258",5,2014
544,삼덕동,"6,558",5,2014
545,성내1동,"4,562",5,2014
546,성내2동,"4,977",5,2014
547,성내3동,"3,693",5,2014
548,대신동,"4,767",5,2014
549,남산1동,"3,978",5,2014
550,남산2동,"4,730",5,2014
551,남산3동,"5,934",5,2014
552,남산4동,"14,131",5,2014
553,대봉1동,"7,567",5,2014
554,대봉2동,"4,003",5,2014
555,동인동,"10,256",6,2014
556,삼덕동,"6,565",6,2014
557,성내1동,"4,576",6,2014
558,성내2동,"4,961",6,2014
559,성내3동,"3,702",6,2014
560,대신동,"4,768",6,2014
561,남산1동,"3,955",6,2014
562,남산2동,"4,769",6,2014
563,남산3동,"6,679",6,2014
564,남산4동,"14,054",6,2014
565,대봉1동,"7,551",6,2014
566,대봉2동,"3,968",6,2014
567,동인동,"10,282",7,2014
568,삼덕동,"6,594",7,2014
569,성내1동,"4,583",7,2014
570,성내2동,"4,962",7,2014
571,성내3동,"3,693",7,2014
572,대신동,"4,764",7,2014
573,남산1동,"3,980",7,2014
574,남산2동,"4,772",7,2014
575,남산3동,"7,027",7,2014
576,남산4동,"13,990",7,2014
577,대봉1동,"7,547",7,2014
578,대봉2동,"3,943",7,2014
579,동인동,"10,264",8,2014
580,삼덕동,"6,578",8,2014
581,성내1동,"4,594",8,2014
582,성내2동,"4,939",8,2014
583,성내3동,"3,671",8,2014
584,대신동,"4,734",8,2014
585,남산1동,"4,566",8,2014
586,남산2동,"4,754",8,2014
587,남산3동,"7,199",8,2014
588,남산4동,"13,945",8,2014
589,대봉1동,"7,530",8,2014
590,대봉2동,"3,953",8,2014
591,동인동,"10,254",9,2014
592,삼덕동,"6,592",9,2014
593,성내1동,"4,587",9,2014
594,성내2동,"4,907",9,2014
595,성내3동,"3,666",9,2014
596,대신동,"4,684",9,2014
597,남산1동,"4,879",9,2014
598,남산2동,"4,707",9,2014
599,남산3동,"7,249",9,2014
600,남산4동,"13,962",9,2014
601,대봉1동,"7,487",9,2014
602,대봉2동,"3,942",9,2014
603,동인동,"10,232",10,2014
604,삼덕동,"6,597",10,2014
605,성내1동,"4,605",10,2014
606,성내2동,"4,899",10,2014
607,성내3동,"3,658",10,2014
608,대신동,"4,680",10,2014
609,남산1동,"5,066",10,2014
610,남산2동,"4,712",10,2014
611,남산3동,"7,340",10,2014
612,남산4동,"13,940",10,2014
613,대봉1동,"7,510",10,2014
614,대봉2동,"3,927",10,2014
615,동인동,"10,236",11,2014
616,삼덕동,"6,576",11,2014
617,성내1동,"4,576",11,2014
618,성내2동,"4,922",11,2014
619,성내3동,"3,649",11,2014
620,대신동,"4,689",11,2014
621,남산1동,"5,152",11,2014
622,남산2동,"4,708",11,2014
623,남산3동,"7,385",11,2014
624,남산4동,"13,930",11,2014
625,대봉1동,"7,506",11,2014
626,대봉2동,"3,910",11,2014
627,동인동,"10,217",12,2014
628,삼덕동,"6,623",12,2014
629,성내1동,"4,612",12,2014
630,성내2동,"4,910",12,2014
631,성내3동,"3,645",12,2014
632,대신동,"4,672",12,2014
633,남산1동,"5,160",12,2014
634,남산2동,"4,719",12,2014
635,남산3동,"7,446",12,2014
636,남산4동,"13,941",12,2014
637,대봉1동,"7,524",12,2014
638,대봉2동,"3,881",12,2014
639,동인동,"10,196",1,2015
640,삼덕동,"6,639",1,2015
641,성내1동,"4,618",1,2015
642,성내2동,"4,899",1,2015
643,성내3동,"3,638",1,2015
644,대신동,"4,652",1,2015
645,남산1동,"5,159",1,2015
646,남산2동,"4,719",1,2015
647,남산3동,"7,476",1,2015
648,남산4동,"13,934",1,2015
649,대봉1동,"7,553",1,2015
650,대봉2동,"3,892",1,2015
651,동인동,"10,185",2,2015
652,삼덕동,"6,641",2,2015
653,성내1동,"4,641",2,2015
654,성내2동,"4,912",2,2015
655,성내3동,"3,646",2,2015
656,대신동,"4,611",2,2015
657,남산1동,"5,160",2,2015
658,남산2동,"4,739",2,2015
659,남산3동,"7,455",2,2015
660,남산4동,"13,924",2,2015
661,대봉1동,"7,560",2,2015
662,대봉2동,"3,870",2,2015
663,동인동,"10,210",3,2015
664,삼덕동,"6,665",3,2015
665,성내1동,"4,655",3,2015
666,성내2동,"4,898",3,2015
667,성내3동,"3,621",3,2015
668,대신동,"4,554",3,2015
669,남산1동,"5,175",3,2015
670,남산2동,"4,744",3,2015
671,남산3동,"7,497",3,2015
672,남산4동,"13,919",3,2015
673,대봉1동,"7,513",3,2015
674,대봉2동,"3,865",3,2015
675,동인동,"10,166",4,2015
676,삼덕동,"6,653",4,2015
677,성내1동,"4,665",4,2015
678,성내2동,"4,864",4,2015
679,성내3동,"3,594",4,2015
680,대신동,"5,466",4,2015
681,남산1동,"5,162",4,2015
682,남산2동,"4,751",4,2015
683,남산3동,"7,486",4,2015
684,남산4동,"13,852",4,2015
685,대봉1동,"7,488",4,2015
686,대봉2동,"3,852",4,2015
687,동인동,"10,166",5,2015
688,삼덕동,"6,664",5,2015
689,성내1동,"4,663",5,2015
690,성내2동,"4,856",5,2015
691,성내3동,"3,580",5,2015
692,대신동,"6,513",5,2015
693,남산1동,"5,153",5,2015
694,남산2동,"4,745",5,2015
695,남산3동,"7,470",5,2015
696,남산4동,"13,775",5,2015
697,대봉1동,"7,468",5,2015
698,대봉2동,"3,837",5,2015
699,동인동,"10,181",6,2015
700,삼덕동,"6,669",6,2015
701,성내1동,"4,666",6,2015
702,성내2동,"4,835",6,2015
703,성내3동,"3,593",6,2015
704,대신동,"7,059",6,2015
705,남산1동,"5,145",6,2015
706,남산2동,"4,730",6,2015
707,남산3동,"7,475",6,2015
708,남산4동,"13,712",6,2015
709,대봉1동,"7,398",6,2015
710,대봉2동,"3,856",6,2015
711,동인동,"10,192",7,2015
712,삼덕동,"6,656",7,2015
713,성내1동,"4,658",7,2015
714,성내2동,"4,827",7,2015
715,성내3동,"3,589",7,2015
716,대신동,"7,220",7,2015
717,남산1동,"5,157",7,2015
718,남산2동,"4,710",7,2015
719,남산3동,"7,473",7,2015
720,남산4동,"13,715",7,2015
721,대봉1동,"7,397",7,2015
722,대봉2동,"3,831",7,2015
723,동인동,"10,151",8,2015
724,삼덕동,"6,679",8,2015
725,성내1동,"4,637",8,2015
726,성내2동,"4,822",8,2015
727,성내3동,"3,564",8,2015
728,대신동,"7,263",8,2015
729,남산1동,"5,141",8,2015
730,남산2동,"4,708",8,2015
731,남산3동,"7,481",8,2015
732,남산4동,"13,679",8,2015
733,대봉1동,"7,390",8,2015
734,대봉2동,"3,809",8,2015
735,동인동,"10,163",9,2015
736,삼덕동,"6,672",9,2015
737,성내1동,"4,619",9,2015
738,성내2동,"4,809",9,2015
739,성내3동,"3,577",9,2015
740,대신동,"7,331",9,2015
741,남산1동,"5,138",9,2015
742,남산2동,"4,678",9,2015
743,남산3동,"7,493",9,2015
744,남산4동,"13,611",9,2015
745,대봉1동,"7,398",9,2015
746,대봉2동,"3,814",9,2015
747,동인동,"10,233",10,2015
748,삼덕동,"6,691",10,2015
749,성내1동,"4,584",10,2015
750,성내2동,"4,784",10,2015
751,성내3동,"3,565",10,2015
752,대신동,"7,358",10,2015
753,남산1동,"5,138",10,2015
754,남산2동,"4,664",10,2015
755,남산3동,"7,515",10,2015
756,남산4동,"13,526",10,2015
757,대봉1동,"7,363",10,2015
758,대봉2동,"3,792",10,2015
759,동인동,"10,328",11,2015
760,삼덕동,"6,688",11,2015
761,성내1동,"4,581",11,2015
762,성내2동,"4,749",11,2015
763,성내3동,"3,544",11,2015
764,대신동,"7,374",11,2015
765,남산1동,"5,141",11,2015
766,남산2동,"4,657",11,2015
767,남산3동,"7,494",11,2015
768,남산4동,"13,515",11,2015
769,대봉1동,"7,385",11,2015
770,대봉2동,"3,750",11,2015
771,동인동,"10,470",12,2015
772,삼덕동,"6,668",12,2015
